[20151127_114556.jpg,0.8732852884949149]
[20151127_114946.jpg,0.8855097445266766]
[20151127_115553.jpg,0.8643158215982141]
[20151127_115951.jpg,0.8084217951200112]
[20151127_120128.jpg,0.8351826057860761]
[20151127_120723.jpg,0.8742049522384017]
[20151127_121137.jpg,0.8175142307046261]
[20151127_121213.jpg,0.8605461503227567]
[20151127_121530.jpg,0.8352251809461637]
[20151127_121613.jpg,0.8562094850579198]
[20151127_121906.jpg,0.8519422098907503]
[20151127_122019.jpg,0.919559665783511]
[20151127_122428.jpg,0.842590173202263]
[20151127_122446.jpg,0.8099743067497893]
[20151127_122558.jpg,0.8629895191012205]
[20151127_122651.jpg,0.919559665783511]
[20151127_122910.jpg,0.8613672447523075]
[20151127_123116.jpg,0.8921666742730057]
[20151127_123200.jpg,0.8410510702561403]
[20151127_123347.jpg,0.919559665783511]
[20151127_123434.jpg,0.872013620162773]
[20151127_123952.jpg,0.8607541421927757]
[20151127_124155.jpg,0.9055849465298453]
[20151127_124259.jpg,0.8425842928820093]
[20151127_125457.jpg,0.8872158737542738]
[20151127_125520.jpg,0.8766176429389413]
[20151127_130206.jpg,0.8600568394993121]
[20151127_130432.jpg,0.8747463211195764]
[20151127_130448.jpg,0.8753097973987362]
[20151127_130620.jpg,0.8709890304478225]
[20151127_130638.jpg,0.9008136194253695]
[20151127_131055.jpg,0.8344728731931798]
[20151127_131420.jpg,0.8473682779537652]
[20151127_131604.jpg,0.813906729795016]
[20151127_131721.jpg,0.8462285508008842]
[20151127_131828.jpg,0.8566047622425191]
[20151127_131948.jpg,0.8690486937342241]
[20151127_132235.jpg,0.8656345707742901]
[20151127_132650.jpg,0.8722887416138753]
[20151127_132932.jpg,0.9161131208630109]
[20151127_133052.jpg,0.880198871589591]
[20151127_133109.jpg,0.8442846223161709]
[20151127_133130.jpg,0.8802322698106823]
[20151127_133941.jpg,0.8815077364836885]
[20151127_134203.jpg,0.866002240827933]
[20151127_134617.jpg,0.9161131208630109]
[20151127_134710.jpg,0.8923861125911781]
[20151127_134854.jpg,0.8490790103004695]
[20151127_135241.jpg,0.8627025420133386]
[20151127_135305.jpg,0.9085491906280424]
[20151127_135332.jpg,0.8240729135323155]
[20151127_140257.jpg,0.8406780455352522]
[20151127_141102.jpg,0.8537498023644732]
[20151127_141235.jpg,0.8761703466721089]
[20151127_141355.jpg,0.7776418992579472]
[20151127_141457.jpg,0.8703480412364346]
[20151127_142112.jpg,0.8779923266483758]
[20151127_142522.jpg,0.8650281107047781]
[20151130_113436.jpg,0.890561556208525]
[20151130_113548.jpg,0.9119097153266565]
[20151130_113720.jpg,0.8672071857195348]
[20151130_113755.jpg,0.9325198124176682]
[20151130_113811.jpg,0.8893814364135822]
[20151130_114136.jpg,0.9119097153266565]
[20151130_114152.jpg,0.9199457821428471]
[20151130_114445.jpg,0.9096407335973412]
[20151130_114552.jpg,0.8741736635775768]
[20151130_114603.jpg,0.9325198124176682]
[20151130_114619.jpg,0.8106243377756575]
[20151130_114710.jpg,0.8489104461986318]
[20151130_114733.jpg,0.8673036312139062]
[20151130_115127.jpg,0.8510381243575615]
[20151130_115259.jpg,0.8825186930416112]
[20151130_115542.jpg,0.932349583705192]
[20151130_115557.jpg,0.8979949567396394]
[20151130_115637.jpg,0.9119097153266565]
[20151130_120059.jpg,0.7264559121660376]
[20151130_120108.jpg,0.8752694467349851]
[20151130_120131.jpg,0.8237685982146467]
[20151130_120318.jpg,0.8707694945683796]
[20151130_121124.jpg,0.8694858656217569]
[20151130_121212.jpg,0.7583993445235173]
[20151130_121536.jpg,0.8741736635775768]
[20151130_122101.jpg,0.8582406861395467]
[20151130_122114.jpg,0.8694858656217569]
[20151130_122203.jpg,0.8776433149044143]
[20151130_122212.jpg,0.8719761780471665]
[20151130_122225.jpg,0.8788767451967049]
[20151130_122350.jpg,0.8470997542333194]
[20151130_122530.jpg,0.6256597509092333]
[20151130_122541.jpg,0.8044406866669039]
[20151203_121413.jpg,0.8637479843037899]
[20151203_121602.jpg,0.8745536525300711]
[20151203_121742.jpg,0.8752925474234319]
[20151203_121835.jpg,0.8634666585453983]
[20151203_122411.jpg,0.8556867992473743]
[20151203_122449.jpg,0.8658957522003947]
[20151203_122815.jpg,0.8659105866500321]
[20151203_122824.jpg,0.8562400268409384]
[20151203_122955.jpg,0.8718850155894519]
[20151203_123432.jpg,0.8702622287368927]
[20151203_124649.jpg,0.9162380011904666]
[20151203_124659.jpg,0.8393659140436087]
[20151203_124739.jpg,0.9162380011904666]
[20151203_124903.jpg,0.8287195809445393]
[20151203_124923.jpg,0.8698367331230625]
[20151203_125059.jpg,0.86455510766947]
[20151203_130529.jpg,0.8336586539741176]
[20151203_130542.jpg,0.859155336594482]
[20151203_130620.jpg,0.905677027738866]
[20151203_130633.jpg,0.869436124749555]
[20151203_130936.jpg,0.8916055268693205]
[20151203_131008.jpg,0.8757347320610813]
[20151203_131136.jpg,0.882210555198562]
[20151203_131252.jpg,0.7236141139452261]
[20151203_131320.jpg,0.8524095503147318]
[20151203_131702.jpg,0.9332608803484832]
[20151203_131745.jpg,0.8562636758820501]
[20151203_132045.jpg,0.8145540136380295]
[20151203_132207.jpg,0.8202421333195308]
[20151204_113341.jpg,0.8499681606061358]
[20151204_113721.jpg,0.8703636588495399]
[20151204_114130.jpg,0.4666304401742416]
[20151204_114754.jpg,0.8651140530371287]
[20151204_115038.jpg,0.8608676374327455]
[20151204_115325.jpg,0.8971174747917374]
[20151204_115413.jpg,0.8890855913345296]
[20151204_115721.jpg,0.8905897410602086]
[20151204_120102.jpg,0.8434650429190049]
[20151204_120158.jpg,0.9557728824267219]
[20151204_120241.jpg,0.9008136194253695]
[20151204_120525.jpg,0.9024676753691248]
[20151204_120630.jpg,0.9008136194253695]
[20151204_121303.jpg,0.8705024406310262]
[20151204_121329.jpg,0.9073858522271335]
[20151204_121641.jpg,0.9344199421183272]
[20151204_121904.jpg,0.8741695583416561]
[20151204_121940.jpg,0.8728436694905829]
[20151204_122143.jpg,0.8187217439610729]
[20151204_122327.jpg,0.9557728824267219]
[20151204_122501.jpg,0.8593070133036221]
[20151204_122811.jpg,0.8775705364030874]
[20151204_123002.jpg,0.8969614010487064]
[20151204_123337.jpg,0.8724119989349765]
[20151204_123409.jpg,0.9176167807718484]
[20151204_123442.jpg,0.9021447976030083]
[20151204_123503.jpg,0.8409071194787128]
[20151204_123518.jpg,0.8675259747338181]
[20151204_123621.jpg,0.9008136194253695]
[20151204_123706.jpg,0.8714748700081152]
[20151204_123807.jpg,0.8831520696084975]
[20151204_123954.jpg,0.8501593786697417]
[20151204_124018.jpg,0.8911088028156723]
[20151204_124232.jpg,0.8711600441518335]
[20151204_124439.jpg,0.8632460120800749]
[20151204_130447.jpg,0.8611556122327618]
[20151204_130733.jpg,0.9557728824267219]
[20151204_131144.jpg,0.8602274386484068]
[20151204_131337.jpg,0.8598924440128869]
[20151204_131633.jpg,0.8356982186355095]
[20151204_132219.jpg,0.8976198940569684]
[20151204_132523.jpg,0.8991866655210461]
[20151204_132641.jpg,0.9008136194253695]
[20151204_132839.jpg,0.8633174137184909]
[20151204_133241.jpg,0.8809120049648875]
[20151204_133650.jpg,0.8560489147419568]
[20151204_134222.jpg,0.8557641396751343]
[20151211_113730.jpg,0.8674587511024437]
[20151211_115558.jpg,0.8904851941619277]
[20151211_115638.jpg,0.8907782663043203]
[20151211_115756.jpg,0.8743740743153815]
[20151211_120041.jpg,0.8777885967195731]
[20151211_120113.jpg,0.8750574454441707]
[20151211_120606.jpg,0.8138747422220641]
[20151211_120626.jpg,0.8561893059239225]
[20151211_120752.jpg,0.8575181333535826]
[20151211_121101.jpg,0.8003565629655489]
[20151211_121148.jpg,0.8629003290472663]
[20151211_121210.jpg,0.9037206826161759]
[20151211_121401.jpg,0.45428473414807036]
[20151211_121425.jpg,0.8654688445710365]
[20151211_121527.jpg,0.9008136194253695]
[20151211_121749.jpg,0.8845358913221295]
[20151211_121903.jpg,0.0]
[20151211_122012.jpg,0.0]
[20151211_122437.jpg,0.8174481125826474]
[20151211_123004.jpg,0.9120603112543474]
[20151211_123024.jpg,0.9345529783138027]
[20151211_123134.jpg,0.9029635984784662]
[20151211_123243.jpg,0.9008136194253695]
[20151211_123531.jpg,0.8270842451238358]
[20151211_124012.jpg,0.8333261435535336]
[20151211_124046.jpg,0.9332608803484832]
[20151211_124111.jpg,0.8136982512344162]
[20151211_124724.jpg,0.8692052388367808]
[20151211_124814.jpg,0.8931475508950802]
[20151211_125223.jpg,0.9276436289405781]
[20151211_125307.jpg,0.8823067664321278]
[20151211_125845.jpg,0.8166660858142805]
[20151211_130024.jpg,0.8740484571010457]
[20151211_130428.jpg,0.8906345842699277]
[20151211_130450.jpg,0.8892050574430103]
[20151211_130651.jpg,0.8326499720835863]
[20151211_130709.jpg,0.872809068289467]
[20151211_130826.jpg,0.8596374380420935]
[20151211_131011.jpg,0.859381583687955]
[20151211_131025.jpg,0.9120603112543474]
[20151211_131130.jpg,0.8506263786283017]
[20151211_131149.jpg,0.8668881991930906]
[20151211_131312.jpg,0.8659128195456155]
[20151211_131357.jpg,0.9120603112543474]
[20151211_131700.jpg,0.8719970931887175]
[20151211_131844.jpg,0.8729054728654578]
[20151211_132209.jpg,0.8875059424928795]
[20151211_132304.jpg,0.8450604922272562]
[20151211_132412.jpg,0.8204593303905451]
[20151211_132539.jpg,0.8339149547183039]
[20151211_132948.jpg,0.8514942780482693]
[20151211_133050.jpg,0.8873197635193074]
[20151211_133751.jpg,0.9120603112543474]
[20151211_134119.jpg,0.9345529783138027]
[20151211_134345.jpg,0.8252033800636367]
[20151211_134835.jpg,0.8705873379342985]
[20151211_135120.jpg,0.8602471604140914]
[20151211_135213.jpg,0.8461677998811867]
[20151211_135540.jpg,0.8778417016773103]
[20151211_135705.jpg,0.8555070195161828]
[20151211_135719.jpg,0.9332608803484832]
[20151211_135815.jpg,0.8586948054418595]
[20151211_140218.jpg,0.850094616845692]
[20151211_140304.jpg,0.8744983643160134]
[20151211_140619.jpg,0.9345529783138027]
[20151211_141344.jpg,0.8519561246971509]
[20151211_141706.jpg,0.8183750706832307]
[20151211_141852.jpg,0.8723574665188323]
[20151211_141946.jpg,0.8620848520015253]
[20151211_142609.jpg,0.8673502183138474]
[20151211_142714.jpg,0.8624580260447917]
[20151211_142929.jpg,0.8715883232153888]
[20151211_143008.jpg,0.8559524805744353]
[20151221_113328.jpg,0.8613672447523075]
[20151221_113855.jpg,0.8981144066352007]
[20151221_114009.jpg,0.8432794826590158]
[20151221_114428.jpg,0.8432794826590158]
[20151221_114732.jpg,0.9162380011904666]
[20151221_115117.jpg,0.831123883461243]
[20151221_115135.jpg,0.8572126332115235]
[20151221_115219.jpg,0.8490422608963826]
[20151221_115237.jpg,0.8639641055047681]
[20151221_115343.jpg,0.9008136194253695]
[20151221_115523.jpg,0.8610309432895067]
[20151221_120054.jpg,0.9116392152217849]
[20151221_120138.jpg,0.9279706500515119]
[20151221_120520.jpg,0.8749751689677059]
[20151221_120655.jpg,0.862747026936444]
[20151221_121055.jpg,0.8432794826590158]
[20151221_121507.jpg,0.8153599055223617]
[20151221_121712.jpg,0.8461834139934262]
[20151221_121821.jpg,0.8845049461900162]
[20151221_122204.jpg,0.8592902402799673]
[20151221_122516.jpg,0.8517021012997921]
[20151221_122545.jpg,0.892248082204678]
[20151221_122746.jpg,0.8815328182006531]
[20151221_123317.jpg,0.9008136194253695]
[20151221_123510.jpg,0.8403807313468824]
[20151221_123614.jpg,0.8575433378620266]
[20151221_123722.jpg,0.8567220692325116]
[20151221_124149.jpg,0.8420990443834535]
[20151221_124217.jpg,0.8556347965807091]
[20151221_124359.jpg,0.8597181854932113]
[20151221_124714.jpg,0.8537905614001253]
[20151221_124736.jpg,0.8566603242838379]
[20151221_125054.jpg,0.8889642906178659]
[20151221_125333.jpg,0.8671912928997866]
[20151221_125430.jpg,0.8666843649679319]
[20151221_125818.jpg,0.8799335440642485]
[20151221_125851.jpg,0.8658085782371959]
[20151221_125957.jpg,0.9279706500515119]
[20151221_130014.jpg,0.8544861724749175]
[20151221_130046.jpg,0.9162380011904666]
[20151221_130948.jpg,0.8617049320349307]
[20151221_131143.jpg,0.8494948900503488]
[20151221_131207.jpg,0.9279706500515119]
[20151221_131301.jpg,0.8391475563950349]
[20151221_131407.jpg,0.8525510776680238]
[20151221_131604.jpg,0.8639641055047681]
[20151221_132512.jpg,0.7606239118303009]
[20151221_132555.jpg,0.8450446878828284]
[20151221_132837.jpg,0.8845358913221295]
[20151221_133105.jpg,0.8450544608242673]
[20151221_133353.jpg,0.9528890369457771]
[20151221_133608.jpg,0.8498889797465373]
[20151221_134018.jpg,0.8808093307949847]
[20151221_134106.jpg,0.8076317243106035]
[20151221_134140.jpg,0.8368385817032923]
[20151221_134206.jpg,0.8432279975526127]
[20151221_134224.jpg,0.8094626906411675]
[20151221_134746.jpg,0.932349583705192]
[20151221_134839.jpg,0.9008136194253695]
[20151221_134946.jpg,0.8538823112919622]
